blockHash	blockNumber	from	gas	gasPrice	hash	input	nonce	r	s	to	transactionIndex	v	value	contextData.timestampMillis	payload.blockHash	payload.blockNumber	payload.from	payload.gas	payload.gasPrice	payload.hash	payload.input	payload.nonce	payload.r	payload.s	payload.to	payload.transactionIndex	payload.v	payload.value	payload.properties.blockHash	payload.properties.blockNumber	payload.properties.from	payload.properties.gas	payload.properties.gasPrice	payload.properties.hash	payload.properties.input	payload.properties.nonce	payload.properties.r	payload.properties.s	payload.properties.to	payload.properties.transactionIndex	payload.properties.v	payload.properties.value	contextData.deviceTemplate	contextData.device	contextData.clientConnection	contextData.clientSession	contextData.user	contextData.timezoneId	contextData.timestamp	contextData.source
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	string	string	string	string	string	string	string
																																											meta	meta	meta	meta	meta	meta	meta	meta
4.6819581205550575e+76	8600000.0	9.62999602608191e+47	120000.0	21000000000.0	4.6664174295062675e+76	3.8020752995870066e+163	208166.0	5.030470604581343e+76	5.3862381573099136e+76	5.636283767592926e+47	16.0	37.0	0.0	1570182871687.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	1.9262001273109566e+47	60000.0	21000000000.0	6.983105595496136e+76	3.8020752995870066e+163	888.0	4.670291429525109e+76	4.025251144012973e+76	5.224051382173095e+47	17.0	37.0	0.0	1570182871688.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	9.810640678690543e+47	21000.0	21000000000.0	7.509839327988723e+76	0.0	5.0	1.0519541177898579e+77	4.71271499207164e+76	1.325142320179308e+48	18.0	37.0	1.79559e+17	1570182871689.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	7.979173830488058e+47	104738.0	21000000000.0	1.513100398142769e+76	0.0	558702.0	2.5020823818734968e+76	3.353233501718668e+76	6.9388190708734744e+47	19.0	28.0	0.0	1570182871691.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	2.47454164316291e+47	54508.0	21000000000.0	7.339456220286617e+76	2509543862.0	39.0	9.414706090730335e+76	4.319372375281147e+76	8.769009772425075e+47	20.0	37.0	0.0	1570182871692.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	1.369442640522047e+47	76802.0	20000000000.0	1.1390282434555429e+77	3.8020752995870066e+163	466.0	1.1202355876603632e+77	8.442360698486892e+75	1.2488751460129641e+48	21.0	37.0	0.0	1570182871693.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	1.2618985554665682e+47	72940.0	20000000000.0	1.0964233458936279e+77	3.8020752995870066e+163	5970.0	9.570099117789402e+76	4.859252128624187e+76	5.10067084520642e+47	22.0	38.0	0.0	1570182871694.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	1.1850991289055146e+48	79500.0	13200000000.0	7.557791576054973e+76	3.8020752995870066e+163	24.0	4.702463190609059e+76	7.017623017838519e+75	2.6488556574578344e+47	23.0	28.0	0.0	1570182871696.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	8.908239808830848e+47	2900956.0	11300000000.0	7.571471289368282e+76	4.6254982140186554e+240	25180.0	3.8368370316992586e+76	5.075433523496768e+76	1.0945156095205665e+46	24.0	38.0	0.0	1570182871697.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	8.908239808830848e+47	29544.0	11300000000.0	9.281359636247946e+76	4.6254982140186554e+240	25181.0	8.100779892842074e+76	1.0882439245792463e+75	1.0945156095205665e+46	25.0	37.0	0.0	1570182871699.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	8.908239808830848e+47	2798220.0	11300000000.0	7.355770645984887e+76	4.6254982140186554e+240	25182.0	8.941176186802894e+76	3.236734346244388e+76	1.0945156095205665e+46	26.0	37.0	0.0	1570182871701.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	8.908239808830848e+47	29544.0	11300000000.0	1.970591604989643e+76	4.6254982140186554e+240	25183.0	6.047765850219961e+76	1.1336301382302488e+76	1.0945156095205665e+46	27.0	37.0	0.0	1570182871703.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
4.6819581205550575e+76	8600000.0	8.908239808830848e+47	29544.0	11300000000.0	3.003408883118781e+76	4.6254982140186554e+240	25184.0	8.316269141661629e+76	5.079474219359524e+76	1.0945156095205665e+46	28.0	37.0	0.0	1570182871706.0																																	gjuan	UTC	2019-10-04T09:54:31Z	INTERNAL_ROUTER
